owner_link,owner,views,followers,average_rating,google_maps_locatoin_link,long,lat
190,https://opensooq.com/en/mid/member-147077265826,أبو خالد , 8.7K,3 ,0,,,
191,https://opensooq.com/en/mid/OMARATEAH,فراس خلف , 9.4M,1K ,3.6,,,
192,https://opensooq.com/en/mid/member-147418498175,البستان لادارة وتطوير العقارات , 1.4M,405 ,3.5,,,
193,https://opensooq.com/en/mid/member-145991433583,yousef al okar, 75.8K,10 ,5,,,
194,https://opensooq.com/en/mid/member-168881605538,Raed , 44.9K,6 ,0,,,
195,https://opensooq.com/en/mid/member-1716484169.8221431,Fzak , 4.1K,0 ,0,,,
196,https://opensooq.com/en/mid/member-1715075959.7003362,رولا عدنان محمدخير جبري , 1.6K,0 ,0,,,
197,https://opensooq.com/en/mid/Omar.i,Omar , 108.6K,0 ,3.7,,,
198,https://opensooq.com/en/shops/شركة-محمد-عدنان-العقارية-826016, شركة محمد عدنان العقارية, 8.2M,682 ,3.2,,,
199,https://opensooq.com/en/mid/member-147567760855,صلاح المسلم بني صخر, 118.1K,30 ,3.5,,,
200,https://opensooq.com/en/mid/member-163161981944,زياد , 29.6K,2 ,4.5,,,
201,https://opensooq.com/en/mid/member-1717781672.8916611,S F , 1.8K,0 ,0,,,
202,https://opensooq.com/en/mid/member-101811284401135983897,محمود قاسم , 82.3K,26 ,5,,,
203,https://opensooq.com/en/mid/hamzaamman,Hamza , 1M,52 ,3.5,,,
204,https://opensooq.com/en/mid/member-152036024733,انور موسى محمد أبو الحاج , 69.4K,32 ,0,,,
205,https://opensooq.com/en/mid/member-148058976647,الأولى العقاريه الأولى العقاريه, 4.6M,385 ,3.3,,,
206,https://opensooq.com/en/mid/AhmadMayyaleh,Bila Chalets and lands , 81K,10 ,4.3,,,
207,https://opensooq.com/en/mid/member-161519281072,jehad hattab, 18K,4 ,2,,,
208,https://opensooq.com/en/mid/basics_int,h sh, 105.1K,7 ,5,,,
209,https://opensooq.com/en/shops/betterhomes-21924049,Betterhomes, 11.6M,784 ,3.1,,,
210,https://opensooq.com/en/mid/member-150134548819,المهندس طلال, 194.2K,9 ,0,,,
211,https://opensooq.com/en/mid/member-5540633,محمد سعد, 497K,68 ,4.2,,,
212,https://opensooq.com/en/mid/member-1800506219961126,Yousef Albashiti, 80.8K,4 ,4,,,
213,https://opensooq.com/en/mid/member-151836827225,محمد خالد, 662K,159 ,4.1,,,
214,https://opensooq.com/en/mid/member-5660539,شادي العساف , 1M,245 ,4,,,
215,https://opensooq.com/en/mid/member-149920476210,سامي محمد , 50.6K,5 ,5,,,
216,https://opensooq.com/en/mid/member-146591928423,ابو مجد , 268.3K,0 ,3.5,,,
217,https://opensooq.com/en/shops/apparmentsjo-5769413,Apparmentsjo, 117.1K,14 ,5,,,
218,https://opensooq.com/en/mid/member-165510462921,rasha , 10.3K,1 ,5,,,
219,https://opensooq.com/en/mid/member-164520459868,Abo Hossian , 89.3K,4 ,0,,,
220,https://opensooq.com/en/mid/nourjad88,nour aldeen jar, 109.9K,138 ,3.7,,,
221,https://opensooq.com/en/shops/أبراج-العقارية-abraj-properties-16459551,أبراج العقارية - Abraj Properties , 906.7K,104 ,2.8,,,
222,https://opensooq.com/en/mid/omarsamara,شركة عمر وعماد لافي للاسكان , 350.8K,64 ,3.6,,,
223,https://opensooq.com/en/mid/member-167221478381,WA , 37.7K,0 ,4,,,
224,https://opensooq.com/en/mid/member-103485097253091800090,DEL MAR, 641.6K,41 ,4.2,,,
225,https://opensooq.com/en/mid/Mutasemssh,Mutasem sh , 400.2K,55 ,3.6,,,
226,https://opensooq.com/en/mid/member-145138928614,Hamza , 21.7K,0 ,0,,,
227,https://opensooq.com/en/shops/مشعل-الجبر-15445739,مشعل الجبر , 1.2M,186 ,3.4,,,
228,https://opensooq.com/en/mid/member-1626331948100,member1626331948100 , 1.7K,0 ,0,,,
229,https://opensooq.com/en/mid/member-1659357135.235962,mohammaed walid , 240.1K,57 ,4.6,,,
230,https://opensooq.com/en/mid/member-163245004495,mustafa louzi, 2.8K,0 ,0,,,
